[2025-05-18 22:03:03,113] 20 root - INFO - Initiate the data ingestion
[2025-05-18 22:03:06,807] 69 root - INFO - Performed train test split on the dataframe
[2025-05-18 22:03:06,807] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-18 22:03:06,807] 79 root - INFO - Exporting train and test file path.
[2025-05-18 22:03:06,915] 88 root - INFO - Exported train and test file path.
[2025-05-18 22:03:06,917] 22 root - INFO - Data Initiation Completed
[2025-05-18 22:03:06,917] 26 root - INFO - Initiate the data Validation
[2025-05-18 22:03:07,041] 32 root - INFO - Required number of columns:2
[2025-05-18 22:03:07,041] 33 root - INFO - Data frame has columns:31
[2025-05-18 22:03:07,041] 32 root - INFO - Required number of columns:2
[2025-05-18 22:03:07,043] 33 root - INFO - Data frame has columns:31
[2025-05-18 22:03:07,322] 28 root - INFO - data Validation Completed
[2025-05-18 22:03:07,322] 31 root - INFO - data Transformation started
[2025-05-18 22:03:07,322] 60 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-18 22:03:07,322] 62 root - INFO - Starting data transformation
[2025-05-18 22:03:07,379] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-05-18 22:03:07,379] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-18 22:03:07,401] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-18 22:03:07,401] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-18 22:03:07,401] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-05-18 22:03:07,412] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-05-18 22:03:07,412] 35 root - INFO - data Transformation completed
[2025-05-18 22:03:07,412] 37 root - INFO - Model Training sstared
